Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
241,1806 101 20240609 1,1806,09-06-24,BANJIR,Kec. Kotaagung Barat Ds. Way Gelang Ds. Teba Bunuk Kec. Pugung Ds. Gunung Kasih Ds. Tanjung Agung  Kec. Kotaagung Timur Ds. Batu Keramat,TANGGAMUS,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi,0,0,0,3,112,0
279,1806 101 20240525 1,1806,25-05-24,BANJIR,Kec. Talang Padang Ds. Sinar Banten Ds. Sinar Petir Ds. Way Halom DS. Suka Mandi Ds. Suka Bumi Ds. Sukanegeri Jaya Ds. Suka Merindu Ds. Kali Bening Ds. Banding Agung Ds. Talang Padang Ds. Sinar Harapan Ds. Banjarsari Ds. Sukarame Ds. Suka Bandung Ds. Negeri Agung Ds. Sinar Semendo Kec. Kota Agung Timur Ds.  Sukabanjar Kec. Ulu Belu Ds. Datarajan Kec. Bandar Negeri Semuong  Ds. Banding  Ds. Gunung Doh  Ds. Sinar Bangun  Kec. Air Naningan  Ds. Sinar Jaya  Kec. Kota Agung Barat  Ds. Kanyangan  Ds. Belu  Ds. Banjar Masin  Ds. Negara Batin  Ds. Tanjung Agung  Kec. Wonosobo  Ds. Bandar Kejadian  Ds. Karanganyar  Kec. Semaka Ds. Sukaraja  Ds. Sedayu,TANGGAMUS,LAMPUNG,Dokumentasi,?Hujan dengan intensitas tinggi,4,1,0,0,385,0
287,1811 101 20240524 1,1811,24-05-24,BANJIR,Kec. Simpang Pematang Ds. Simpang mesuji,MESUJI,LAMPUNG,Dokumentasi,?Akibat adanya intensitas curah hujan yang cukup tinggi,0,0,0,0,15,0
288,1809 101 20240524 1,1809,24-05-24,BANJIR,Kec. Padang Cermin Ds. Gayau Ds. Durian Ds. Sanggi Kec. Marga Punduh Ds. Suka Jaya Punduh,PESAWARAN,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,425,0
289,1810 101 20240524 1,1810,24-05-24,BANJIR,Kec. Ambarawa Ds. Jati Agung Ds. Margodadi  Kec. Pringsewu  Ds. Margakaya Ds. Sidoharjo,PRINGSEWU,LAMPUNG,Dokumentasi,"?hujan dengan intensitas lebat di beberapa wilayah Di Kab. Pringsewu, menyebabkan Sungai Way Tebu meluap dan menggenangi pemukiman warga",0,0,0,0,125,0
290,1805 101 20240524 1,1805,24-05-24,BANJIR,Kec. Dente Teladas Kamp. Sungai Burung Kamp. Bratasena Mandiri  Kamp. Pasiran Jaya,TULANG BAWANG,LAMPUNG,Dokumentasi,?Dipicu oleh intensitas curah hujan yang cukup tinggi dan pasang air laut,0,0,0,0,380,0
302,1804 101 20240522 1,1804,22-05-24,BANJIR,Kec. Kebun Tebu Ds. Pura Wiwitan,LAMPUNG BARAT,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi menyebabkan Way (sungai) Best Meluap,0,0,0,0,21,0
509,1871 101 20240412 1,1871,12-04-24,BANJIR,Kec. Teluk Betung  Kel. Pesawahan  Kec. Teluk Betung Selatan  Kel. Gedung Pakuan  Kel. Pesawahan  Kec. Teluk Betung Barat  Kel. Bakung  Kel. Olok Gading,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,"?Hujan dengan intensitas tinggi mengguyur beberapa wilayah Kota Bandar Lampung sejak PKL. 02.00 WIB Jumat dini hari, puncaknya air mulai menggenangi pada PKL. 04.00 WIB.",0,0,0,0,789,0
510,1809 101 20240412 1,1809,12-04-24,BANJIR,Kec. Kedongdong  Ds. Teba Jawa  Ds. Way Kepayang  Ds. Gunung Sugih  Kec. Gedong Tataan  Ds.  Bagelen  Kec. Way Lima  Ds. Tanjung Agung  Kec. Way  Khilau  Ds. Mada Jaya  Ds. Kubu Batu  Ds. Tanjung Rejo,PESAWARAN,LAMPUNG,Dokumentasi,?Disebabkan hujan dengan intensitas tinggi pada Hari Jumat Tanggal 12 April 2024 pada Pukul 02.00 d.d Pukul 04.00 sehingga mengakibatkan meluapnya sungai Way Padang Ratu,0,0,0,0,338,0
542,1871 101 20240405 1,1871,05-04-24,BANJIR,Kec. Rajabasa Kel. Rajabasa Kec. Kedaton Kel. Kedaton Kel. Surabaya Kec. Way Halim Kel. Jagabaya 3,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,?Dikarenakan Hujan Deras Sehingga Mengakibatkan Banjir dan Merendam Rumah Warga,0,0,0,0,115,0
632,1809 101 20240311 1,1809,11-03-24,BANJIR,Kec. Teluk Pandan Ds. Sukajaya Lempasing,PESAWARAN,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,52,0
673,1813 101 20240308 1,1813,08-03-24,BANJIR,Kec. Kec. Ngambur  Ds. Negeri Ratu Ds. Mon Ds. Bumi Ratu,PESISIR BARAT,LAMPUNG,Dokumentasi,?Dipicu hujan dengan Intensitas Tinggi sejak kemarin mengakibatkan meluapnya Sungai Hanakau dan Sungai Talema menyebabkan banjir yg masuk ke pemukiman rumah warga.,0,0,0,0,30,0
733,1809 101 20240302 1,1809,02-03-24,BANJIR,Kec.  Way Ratai Ds. Bunut  Kec. Padang Cermin Ds. Way Urang,PESAWARAN,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,172,0
747,1801 101 20240228 1,1801,28-02-24,BANJIR,Kec. Sragi Ds. Sumber Agung Ds. Bandar Agung Kec.Ketapang Ds. Sumber Nadi Ds. Pematang Pasir Kec. Penengahan Ds. Gandri,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?Intensitas hujan yang cukup tinggi,0,0,0,0,177,1
751,1871 101 20240226 1,1871,26-02-24,BANJIR,Kec. Rajabasa Kel. Rajabasa Raya Kec. Sukabumi Kel. Campang Raya,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,"?Dikarenakan intensitas hujan yang turun dan Akibat banjir di wilayah tersebut,sehingga mengakibatkan warga kesulitan memenuhi kebutuhan air bersih setelah Pasca Banjir",0,0,0,0,,0
771,1801 101 20240224 1,1801,24-02-24,BANJIR,Kec. Natar  Ds. Hajimena DS. Natar Ds. Sidosari,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,"?Dipicu oleh hujan dengan intensitas tinggi dan air bah limpas dari saluran sekunder Pada hari Sabtu, 24 Februari 2024 Pkl. 19.00 WIB",0,0,0,0,150,0
772,1809 101 20240224 1,1809,24-02-24,BANJIR,Kec. Gedong Tataan Ds. Negeri Sakti,PESAWARAN,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,40,0
774,1805 101 20240223 1,1805,23-02-24,BANJIR,Kec. Gedung Meneng Ds. Bakung Udik,TULANG BAWANG,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,36,0
790,1808 101 20240219 1,1808,19-02-24,BANJIR,Kec. Negara Batin Kampung Sri Menanti,WAY KANAN,LAMPUNG,Dokumentasi,?Hujan deras mengakibatkan meluapnya Sungai Way Kanan,0,0,0,0,138,0
816,1803 101 20240212 1,1803,12-02-24,BANJIR,"Jl. Bukit Pesagi, Gg. Rawa Karya RT 05 LK 3 Kec. Kotabumi Selatan Kab. Lampung Utara",LAMPUNG UTARA,LAMPUNG,Dokumentasi,,0,0,0,0,27,0
826,1871 101 20240211 1,1871,11-02-24,BANJIR,Kec. Rajabasa Kel. Rajabasa Induk Kel. Rajabasa Nunyai Kec. Wai Halim Kel. Wai Halim Permai Kel. Jagabaya III Kec. Labuhan Ratu Kel. Labuhan Ratu Kec. Kedaton Kel. Kedaton Kec. Panjang Kel. Ketapang Kec. Bumi Waras Kel. Garuntang,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,"?Dipicu air hujan yang turun dengan intensitas tinggi menyebabkan air naik ke pemukiman warga, sehingga mengakibatkan banjir di beberapa titik di kota Bandar Lampung",0,0,0,0,193,0
840,1805 101 20240209 1,1805,09-02-24,BANJIR,Kec. Gedung Aji Baru  Kamp. Mesir Dwi Jaya Kamp. Sido Mekar Kamp. Mekar Asri Kec. Rawa Pitu  Kamp. Panggung Mulya Kamp. Sumber Agung Kec. Gedung Aji Kamp. Aji Mesir Kamp. Bandar Aji Jaya Kec. Penawar Aji  Kamp. Gedung Asri  Kec. Rawa Jitu Selatan  Kamp. Gedung Karya jitu  Kamp. Meda SAri Kamp. Hargo Rejo,TULANG BAWANG,LAMPUNG,Dokumentasi,?Hujan dengan intensitas tinggi,0,0,0,0,4913,0
965,1811 101 20240117 1,1811,17-01-24,BANJIR,Kec. Simpang Pematang Ds. Simpang Mesuji Ds. Simpang Pematang Ds. Jaya Sakti Kec. Panca Jaya Ds. Adi Luhur,MESUJI,LAMPUNG,Dokumentasi,?Dipicu oleh Hujan dengan intensitas tinggi,0,0,0,0,48,0
1278,1806 101 2023 011 030 1,1806,30-11-23,BANJIR,Kec. Pematang Sawa  Ds. Tanjungan Ds. Betung Kec. Semaka Ds. Tugu Papak Ds. Sukajaya,TANGGAMUS,LAMPUNG,Dokumentasi,?akibat jebolnya tanggul sungai sehingga air meluap dan merendam pemukiman,,,,14,109,2
1287,1804 101 2023 011 027 1,1804,27-11-23,BANJIR,Kec. Sukau Ds. Buay Nyerupa,LAMPUNG BARAT,LAMPUNG,Dokumentasi,?Dipicu hujan dengan intensitas sedang dengan durasi yang cukup lama,,,,0,15,0
1544,1806 101 2023 06 029 1,1806,29-06-23,BANJIR,Kec. Semaka Ds. Srikaton Ds. Sukajaya Ds. Kacapura Ds. Sukaraja Ds. Sidodadi Ds. Bangunrejo Ds. Sripurnomo Ds. Pardawaras Ds. Waykerap Ds. Sedayu,TANGGAMUS,LAMPUNG,Dokumentasi,"?curah hujan dengan intensitas tinggi mengakibatkan banjir serta tertutupnya jalan oleh material longsor seperti batu, lumpur dan kayu",,,,5,1224,0
1629,1871 101 2023 05 08 1,1871,08-05-23,BANJIR,Kec. Bumi waras Kel. Bumi Raya,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,?Dipicu curah hujan dengan intensitas yang tinggi,,,,0,10,0
1666,1871 101 2023 05 02 1,1871,02-05-23,BANJIR,Kec. Sukabumi  Kel. Way Laga Kec. Bumi Waras Kel. Way lunik,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,?curah hujan dengan intensitas sedang-tinggi,,,,0,23,0
1716,1811 101 2023 04 010 1,1811,10-04-23,BANJIR,Kec. Mesuji Timur Kec. Simpang Pematang Ds. Margo Makmur Kec. Tanjung Raya Ds. Muara Tenang,MESUJI,LAMPUNG,Dokumentasi,?Hujan dengan intensitas tinggi,,,,0,225,0
1736,1811 101 2023 04 04 1,1811,04-04-23,BANJIR,Desa Aji Jaya kec. Simpang Pematang dan Desa Adi luhur Kec. Panca Jaya Kab. Mesuji,MESUJI,LAMPUNG,Dokumentasi,,,,,4,,0
1744,1801 101 2023 04 04 1,1801,04-04-23,BANJIR,Kec. Natar  Ds. Rulung Sari,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?hujan deras berdurasi lama,2,,,0,,1
1830,1810 101 2023 03 022 1,1810,22-03-23,BANJIR,Kec. Gadingrejo Pekon Pararejo,PRINGSEWU,LAMPUNG,Dokumentasi,?hujan dengan intensitas tinggi,,,,0,250,0
1836,1809 101 2023 03 021 1,1809,21-03-23,BANJIR,Kec. Gedong Tataan  Ds. Gedong Tataan  Ds. Bagelen Ds. Padang Ratu Ds. Sukadadi  Kec. Way Lima  Ds. Batu Raja Ds. Banjar Negeri Ds. Padang Manis Kec. Way Khilau  Ds. Tanjung Rejo,PESAWARAN,LAMPUNG,Dokumentasi,?hujan dengan intensitas tinggi mulai pukul 16.30 s.d 20.00 wib sehingga mengakibatkan meluapnya aliran sungai,,,,409,612,1
1930,1804 101 2023 03 09 1,1804,09-03-23,BANJIR,Kec.Pagar Dewa Ds. Sidomulyo,LAMPUNG BARAT,LAMPUNG,Dokumentasi,?curah hujan yang cukup tinggi mengakibatkan banjir bandang dan tanah longsor sehingga mengganggu aktivitas masyarakat setempat,,,,17,,0
1932,1801 101 2023 03 09 1,1801,09-03-23,BANJIR,Kec Katibung Desa Rangai Tri Tunggal Desa Tarahan Desa Tanjung Ratu       Kec Merbau Mataram Desa Baru Ranji          Kec Sragi Desa Bandaragung,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,1,222,0
1933,1812 101 2023 03 09 1,1812,09-03-23,BANJIR,1. Tiyuh Tirta pulung Kec. Tulang Bawang Tengah.  2. Tiyuh Candra Mukti/Desa kantong Bandar Dewa Kec. Tulang Bawang Tengah. 3. Tiyuh Mekar Asri Kec. Tulang Bawang Tengah 4. Tiyuh Candra Jaya Kec. Tulang Bawang Barat 5. Tikungan penghubung candra jaya-Mulya asri,TULANG BAWANG BARAT,LAMPUNG,Dokumentasi,akibat Hujan deras dengan itensitas yang tingi melanda di sekitar kejadian,,,,0,39,0
1934,1807 101 2023 03 09 1,1807,09-03-23,BANJIR,Desa Pasar Sukadana Kec. Sukadana dan desa Mulyo Asri Kec. Mulyo Agung,LAMPUNG TIMUR,LAMPUNG,Dokumentasi,?Hujan dengan intensitas curah hujan tinggi sehingga meluapnya air sungai pasar Sukadana yang mengakibatkan tanggul air jebol sehingga terjadinya  banjir,,,,0,125,0
1938,1802 101 2023 03 09 1,1802,09-03-23,BANJIR,"Kampung  Gunung Batin Baru dan Gunung Batin Udik, Kecamatan  Terusan Nunyai",LAMPUNG TENGAH,LAMPUNG,Dokumentasi,akibat Hujan deras dengan itensitas yang tingi melanda di sekitar kejadian,,,,4,35,0
1941,1805 101 2023 03 09 1,1805,09-03-23,BANJIR,Jalan Lintas Timur Sumatera Kampung Bujung Tenuk Kecamatan Menggala,TULANG BAWANG,LAMPUNG,Dokumentasi,hujan dengan intensitas curah hujan tinggi sehingga meluapnya air sungai mengakibtkan terjadinya  banjir dengan ketinggian debit air mencapai 70-80 cm  terjadi penutupan akses jalan utama.,,,,5,50,0
1943,1808 101 2023 03 09 1,1808,09-03-23,BANJIR,"Baradatu Way Kanan. Kecamatan Rebang Tangkas, Jembatan Penghubung Way Tahmi putus.",WAY KANAN,LAMPUNG,Dokumentasi,Akibat adanya intensitas curah hujan yang cukup tinggi,,,,0,30,0
1947,1805 101 2023 03 08 1,1805,08-03-23,BANJIR,Kec. Menggala Ds. Astra Ksetra Ds. Tiuh Tohou,TULANG BAWANG,LAMPUNG,Dokumentasi,?Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,2,72,0
2232,1813 101 2023 01 028 1,1813,28-01-23,BANJIR,"Kecamatan Ngaras,  Pekon  Negeri Ratu dan Pekon Bandar Jaya",PESISIR BARAT,LAMPUNG,Dokumentasi,Hujan dengan Intensitas Tinggi dan Durasi Lama mengakibatkan banjir yg masuk ke pemukiman rumah warga.,,,,0,15,0
2401,1805 101 2022 012 023 1,1802,23-12-22,BANJIR,Kec.  way pengubuan Ds. Candirejo,LAMPUNG TENGAH,LAMPUNG,Dokumentasi,?Dipicu hujan lebat dan  aliran air sungai meluap,,,,0,7,0
2571,1801 101 2022 011 013 1,1804,13-11-22,BANJIR,Kec. Balik Bukit Pekon Padang Cahya Kec. Sukau Pekon Buay Nyerupa Pekon Sukamulya Pekon Pagar Dewa Kec. Belalau Pekon Sukarame Kec. Batu Brak Pekon Kerang Pekon Kuta Besi Pekon Sukaraja Kec. Lumbok Seminung Pekon Kagungan,LAMPUNG BARAT,LAMPUNG,Dokumentasi,"?Dipicu hujan dengan intensitas tinggi yang berangsur lama sehingga menyebabkan aliran sungai Way Semangka meluap. Hujan yang berangsur lama juga menyebabkan struktur tanah yang labil sehingga menyebabkan longsor di beberapa titik di wilayah Kab. Lampung Barat pada hari Minggu, 13 Nov 2022, Pkl. 13:00 WIB (dini hari)",,,,1,50,1
2588,1871 101 2022 011 010 1,1871,10-11-22,BANJIR,Kec. Rajabasa     Kel. Rajabasa nyunyai Kec. Tanjung Senang    Kel.  Way kandis Kec. Way halim    Kel. Jagabaya 3,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,"?Dipicu hujan dengan intensitas tinggi dan struktur tanah yang labil yang terjadi pada hari Kamis 10 November 2022, Pkl. 17:00 WIB",,,,0,6,0
2594,1809 101 2022 011 08 1,1809,08-11-22,BANJIR,Kec. Punduh Pedada Ds. Sukamaju Ds. Pagar Jaya,PESAWARAN,LAMPUNG,Dokumentasi,?Dipicu oleh hujan dengan intensitas tinggi sehingga menyebabkan meluapnya sungai way punduh.,,,,13,535,1
2657,1804 101 2022 010 028 1,1807,28-10-22,BANJIR,Kec. Pasir Sakti Ds. Sumur Kucing,LAMPUNG TIMUR,LAMPUNG,Dokumentasi,?Dipicu akibat hujan dengan intensitas sedang hingga lebat,,,,0,5,0
2659,1803 101 2022 010 027 1,1801,27-10-22,BANJIR,Kec. Sidomulyo Kec. Katibung Kec. Candipuro Kec. Kalianda,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?Dipicu akibat hujan dengan intensitas sedang hingga lebat dan mengakibatkan meluapnya DAS diwilayah Kab. Lampung Selatan,4,,,4,2027,0
2663,1802 101 2022 010 027 1,1806,27-10-22,BANJIR,Kec. Semaka Ds. Way Kerap Ds. Bangunrejo Ds. Sukaraja Ds. Sripurnomo Ds. Sudimoro Ds. Kanoman Ds. Kacapura Ds. Garut Ds. Karangrejo Ds. Sidodadi Ds. Tugupapak Kec. Kotaagung Barat,TANGGAMUS,LAMPUNG,Dokumentasi,"?Dipicu hujan deras berlangsung sejak Malam hari hingga Pagi hari ini di beberapa Wilayah di Kabupaten Tanggamus, mengakibatkan aliran sungai meluap hingga jebolnya tanggul penahan air sehingga berdampak terendamnya pemukiman warga, areal persawahan, perkebunan dan Fasilitas umum.",,,,0,350,0
2675,1811 101 2022 010 025 1,1811,25-10-22,BANJIR,Kec. Mesuji Timur Ds. Desa Tanjung Menang Raya Mesuji timur,MESUJI,LAMPUNG,Dokumentasi,?hujan 6 hari berturut turut pada tanggal 19- 24 Oktober  2022 akibat penyempitan dan pendangkalan saluran air sehingga air meluap sampai ke pemukiman warga.,,,,0,37,0
2692,1811 101 2022 010 023 1,1811,23-10-22,BANJIR,Kec. Mesuji Ds. Sumber Makmur,MESUJI,LAMPUNG,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,62,0
2693,1809 101 2022 010 022 1,1809,22-10-22,BANJIR,Kec. Padang Cermin Ds. Padang Cermin Ds. Sanggi Ds. Gayau Ds. Durian Ds. Banjaran Kec. Marga Punduh Ds. Kunyain  Ds. Kota Jawa  Kec. Way Khilau Ds. Kota Jawa  Ds. Mada Jaya Ds. Kubu Batu Ds. Gunung Rejo Kec. Punduh Pedada Kec. Way Ratai Ds. Harapan Jaya Ds. Sumber Jaya Ds. Ceringin Asri Kec. Way Lima Ds. Sindang garut Kec. Kedondong Ds. Way Kepayang Ds. Babakan Loa Kec. Marga Punduh Ds. Ds. Kunyaian Kec. Punduh Pedada Ds. Kota Jawa,PESAWARAN,LAMPUNG,Dokumentasi,Dipicu oleh intensitas curah hujan yang cukup tinggi,1,,,4,605,2
2742,1813 101 2022 010 017 1,1813,17-10-22,BANJIR,Kec. Pesisir Utara Ds. Batu Raja Ds. Kerbang Langgar,PESISIR BARAT,LAMPUNG,Dokumentasi,?Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,2,,0
2743,1813 101 2022 010 017 1,1813,17-10-22,BANJIR,Kec. Karya Penggawa Ds. Temabakak,PESISIR BARAT,LAMPUNG,Dokumentasi,? Dipicu hujan Intensitas Tinggi dan Durasi Lama menyebabkan debit air di sungai Way Tembakak jadi tinggi dan meluap menyebabkan Abrasi sungai di jembatan way tembakak,,,,0,3,0
2754,1813 101 2022 010 014 1,1813,14-10-22,BANJIR,Kec. Ngaras Pekon Kota Batu Pekon Negeri Ratu Ngaras Pekon Rajabasa Pekon Pardasuka Pekon Mulangmaya Pekon Bandar Jaya Kec. Ngambur Pekon Sukabanjar,PESISIR BARAT,LAMPUNG,Dokumentasi,?Hujan dengan Intensitas Tinggi dan Durasi Lama menyebabkan debit air di sungai Way Ngaras jadi tinggi dan meluap ke pemukiman warga Kec. Ngaras. Sedangkan di Pekon Sukabanjar Kec. Ngambur saluran irigasi atau drainase yg tidak mendukung membuat saluran air mampet hingga masuk kerumah warga.,,,,0,,0
2757,1802 101 2022 010 014 1,1806,14-10-22,BANJIR,Kec. Bandar Negri Semuong Ds. Karang Agung Ds. Sri Kuncoro Ds. Sudimoro Bangun Ds. Sudimoro Ds. Kanoman Ds. Tugurejo Ds. Sidodadi Ds. Garut Ds. Karang Rejo Ds. Kacapura Kec. Semaka Ds. Gunung Doh Ds. Banding  Kec. Cukuh Balak Ds. Kubulangka Ds. Suka Padang Ds. Banjar Negara Ds. Tanjung Jati Ds. Tanjung Raja Ds. Way Rilali Ds. Sukaraja Ds. Gedung,TANGGAMUS,LAMPUNG,Dokumentasi,?Hujan dengan intensitas tinggi mengakibatkan meluapnya sungai,,,,0,2297,0
2763,1801 101 2022 010 014 1,1804,14-10-22,BANJIR,Kec. Sumber Jaya Ds. Pekon Suka Jaya Ds. Way Besai Kec. Suoh Ds. pekon Banding agung Ds. pemangku Gunung Sari,LAMPUNG BARAT,LAMPUNG,Dokumentasi,?Akibat adanya intensitas curah hujan yang cukup tinggi di wilayah Kecamatan Sumber Jaya dan sekitarnya mengakibatkan meluapnya Sungai Way Besay sehingga merendamnya area persawahan milik warga dan area wisata arung jeram yang berbatasan langsung dengan Sungai Way Besai setinggi ±60 cm,,,,3,,0
2773,1813 101 2022 010 012 1,1813,12-10-22,BANJIR,Kec.  Pesisir Selatan Ds. Sukarame,PESISIR BARAT,LAMPUNG,Dokumentasi,?Dipicu Hujan dengan Intensitas Tinggi dan Durasi Lama menyebabkan meluapnya Way Tenumbang yg ada di Pekon Sukarame Kecamatan Pesisir Selatan hingga terjadi Banjir Setinggi 1 Meter - 1.5 Meter yg menggenangi bahu jalan serta 20 Rumah Warga.,,,,0,20,0
2834,1803 101 2022 010 06 1,1801,06-10-22,BANJIR,Kec. Rajabasa Ds.yaitu Way Muli Timur Ds. Kunjir,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?Terjadi hujan lebat lebat yang berdampak dan menimbulkan banjir di dua desa,,,,0,60,0
2867,1802 101 2022 09 026 1,1806,26-09-22,BANJIR,Kec. Limau Ds. Pekon Ampai,TANGGAMUS,LAMPUNG,Dokumentasi,? Dipicu intensitas curah hujan yang cukup tinggi,,,,1,6,0
2877,1813 101 2022 09 024 1,1813,24-09-22,BANJIR,Kec. Ngaras Pekon Negeri Ratu Ngaras Pekon Rajabasa Pekon Bandar Jaya,PESISIR BARAT,LAMPUNG,Dokumentasi,?Dipicu hujan deras  dengan intensitas tinggi dan durasi yg cukup lama menyebabkan terjadinya Banjir,,,,0,15,0
3022,1811 101 2022 08 016 1,1811,16-08-22,BANJIR,Kec. Simpang Pematang  Ds. Jaya Sakti,MESUJI,LAMPUNG,Dokumentasi,"?pada hari senin 15 agustus 2022 hujan dengan intensitas lebat mulai pukul 19:30 WIB hingga dini hari, pada pukul 01:00 WIB air meluap sampai ke pemukiman karena adanya pendangkalan dan penyempitan sungai serta  kecilnya gorong.",,,,0,17,0
3058,1811 101 2022 07 030 1,1811,30-07-22,BANJIR,Kec. Simpang Ds. Rejo Binangun,MESUJI,LAMPUNG,Dokumentasi,? dipicu akibat hujan dengan intensitas lebat dan saluran drainase/irigasi yang tidak mendukung sehingga menyebabkan banjir,,,,0,1,0
3106,1803 101 2022 07 015 1,1801,15-07-22,BANJIR,Kec. Raja Basa Ds. Kunjir,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?Dipicu oleh gelombang pasang air laut,,,,0,5,0
3142,1813 101 2022 07 04 1,1813,04-07-22,BANJIR,"Kec Karya Penggawa Dusun, Penyabungan",PESISIR BARAT,LAMPUNG,Dokumentasi,Telah terjadi Gelombang Tinggi di wilayah Kab. Pesisir Barat,,,,10,,0
3175,1808 101 2022 06 023 1,1805,23-06-22,BANJIR,Kec. rawa pitu Ds. gedung jaya,TULANG BAWANG,LAMPUNG,Dokumentasi,Peningkatan aktivitas pasang surut air laut dan gelombang tinggi di sekitar pesisir,,,,3,,0
